applicant_id,education_level,experience_years,skills_score,certifications,interview_score,gender,age,ethnicity,ai_assessment_score,previous_company_reputation,target,ai_confidence
48,Bachelors,19,80.57,1,7.7,Female,32,Group_C,88.24,5,1,0.923
49,Bachelors,8,73.44,1,7.9,Male,26,Group_B,68.35,3,1,0.949
50,Bachelors,12,52.37,1,6.7,Male,52,Group_C,50.7,3,1,0.983
51,Masters,17,73.24,2,5.7,Female,53,Group_C,80.13,4,1,0.931
52,Bachelors,16,66.15,2,5.8,Female,45,Group_A,73.68,3,1,0.925
53,High School,0,63.23,2,6.0,Female,31,Group_A,62.47,1,1,0.992
54,Masters,14,76.12,5,6.7,Male,34,Group_A,85.27,4,1,0.909
55,Masters,1,80.31,4,10.0,Female,34,Group_B,82.02,3,1,0.983
56,High School,15,79.31,5,6.9,Male,57,Group_C,88.31,5,1,0.91
57,High School,19,61.61,3,5.5,Male,43,Group_A,67.3,3,1,0.943
58,Masters,4,66.91,2,6.9,Male,30,Group_C,74.5,2,1,0.924
59,Masters,18,73.31,1,5.9,Male,40,Group_B,89.73,3,1,0.836
60,Bachelors,4,79.76,2,7.5,Female,28,Group_D,82.75,2,1,0.97
61,Masters,1,65.21,3,6.9,Male,36,Group_B,68.63,1,1,0.966
62,High School,6,68.14,0,6.4,Male,38,Group_D,74.88,3,1,0.933
63,Bachelors,2,58.94,2,5.8,Male,35,Group_A,61.26,2,1,0.977
64,High School,16,58.04,4,5.2,Female,23,Group_D,69.98,4,1,0.881
65,Bachelors,2,78.13,1,6.0,Female,35,Group_B,79.03,2,1,0.991
66,High School,12,83.56,2,8.7,Female,25,Group_B,82.2,4,1,0.986
67,Bachelors,6,69.28,1,9.0,Male,24,Group_A,69.96,2,1,0.993
68,Bachelors,2,80.04,6,8.0,Female,24,Group_C,85.52,3,1,0.945
69,Bachelors,14,73.62,1,7.6,Male,32,Group_D,80.18,3,1,0.934
70,High School,17,63.55,3,7.2,Male,26,Group_C,63.38,4,1,0.998
71,Bachelors,9,73.61,2,5.8,Female,50,Group_B,76.5,4,1,0.971
72,Masters,6,85.38,4,10.0,Male,49,Group_B,79.85,4,1,0.945
73,Bachelors,8,69.64,0,7.2,Male,44,Group_A,74.54,3,1,0.951
74,Masters,4,85.65,2,10.0,Male,51,Group_B,91.38,2,1,0.943
75,Bachelors,19,43.8,3,3.5,Male,44,Group_A,57.59,4,1,0.862
76,Bachelors,7,78.22,0,10.0,Male,43,Group_C,77.52,4,1,0.993
77,Bachelors,13,70.87,0,8.0,Male,33,Group_D,66.51,4,1,0.956
78,PhD,3,67.01,0,7.4,Male,48,Group_D,65.94,2,1,0.989
79,High School,19,70.92,1,7.4,Female,36,Group_B,64.23,4,1,0.933
80,High School,13,50.12,3,4.7,Female,44,Group_B,56.81,3,0,0.933
81,Bachelors,11,67.8,3,8.2,Female,40,Group_B,75.55,4,1,0.922
82,PhD,1,73.57,1,7.5,Female,32,Group_C,75.17,3,1,0.984
83,PhD,12,84.78,1,6.1,Female,59,Group_A,92.4,3,1,0.924
84,Bachelors,0,64.82,2,5.1,Male,24,Group_C,67.02,1,1,0.978
85,Bachelors,19,61.92,1,6.0,Male,37,Group_A,66.24,4,1,0.957
86,Bachelors,6,64.98,2,6.9,Female,53,Group_B,63.32,2,1,0.983
87,Bachelors,8,79.15,4,7.8,Male,59,Group_C,80.9,3,1,0.982
88,Bachelors,16,73.29,3,8.8,Male,30,Group_D,67.18,4,1,0.939
89,Masters,20,64.7,1,4.1,Male,59,Group_C,68.73,3,1,0.96
90,Masters,12,75.13,1,7.7,Female,26,Group_A,77.33,4,1,0.978
91,Bachelors,9,70.97,3,4.9,Female,22,Group_B,74.7,4,1,0.963
92,Bachelors,15,79.69,1,8.9,Male,56,Group_A,84.8,3,1,0.949
93,Bachelors,5,62.98,1,6.2,Female,56,Group_D,62.17,3,1,0.992
94,Bachelors,15,66.72,2,7.2,Female,33,Group_A,63.4,4,1,0.967
95,Bachelors,10,66.08,1,5.6,Male,57,Group_D,68.75,4,1,0.973
96,High School,19,55.36,1,7.1,Male,42,Group_D,60.74,4,1,0.946
97,High School,2,72.96,3,8.5,Male,29,Group_C,70.4,4,1,0.974
98,Bachelors,8,72.61,2,8.0,Female,48,Group_A,75.91,3,1,0.967
99,Masters,14,70.05,5,6.8,Male,30,Group_A,75.28,3,1,0.948
100,Bachelors,12,67.65,1,7.5,Male,49,Group_C,66.09,2,1,0.984
101,Bachelors,9,55.85,2,4.7,Male,51,Group_C,54.55,2,1,0.987
102,Bachelors,19,65.79,0,7.6,Female,35,Group_D,66.95,3,1,0.988
103,High School,12,66.57,6,8.6,Female,44,Group_A,63.44,3,1,0.969
104,PhD,16,61.98,1,7.5,Male,50,Group_C,66.51,3,1,0.955
105,Masters,6,68.39,1,6.0,Female,47,Group_B,63.91,3,1,0.955
106,High School,5,74.04,0,7.8,Male,43,Group_A,82.87,2,1,0.912
107,Masters,12,88.86,4,7.3,Male,36,Group_B,100.0,3,1,0.889
108,Bachelors,16,71.75,3,7.9,Female,30,Group_B,67.44,3,1,0.957
109,PhD,14,72.58,2,7.8,Male,47,Group_A,79.56,5,1,0.93
110,Bachelors,3,69.26,0,4.7,Male,38,Group_A,70.09,2,1,0.992
111,Bachelors,14,50.81,5,3.7,Male,30,Group_B,58.46,3,1,0.924
112,Bachelors,13,69.73,0,6.6,Female,24,Group_B,63.41,3,1,0.937
113,Masters,20,70.6,1,6.7,Female,37,Group_A,74.47,5,1,0.961
114,High School,10,94.63,2,8.0,Female,34,Group_A,91.85,3,1,0.972
115,Masters,3,68.08,2,7.3,Female,47,Group_D,67.04,2,1,0.99
116,High School,2,73.02,4,7.6,Female,38,Group_D,67.86,1,1,0.948
117,PhD,1,69.65,2,6.7,Male,53,Group_C,76.6,1,1,0.931
118,High School,19,58.31,3,4.9,Female,45,Group_A,55.19,3,1,0.969
119,PhD,9,81.43,2,9.4,Female,57,Group_A,85.22,4,1,0.962
120,Bachelors,12,77.52,1,9.7,Male,43,Group_C,79.22,3,1,0.983
121,Bachelors,19,77.91,1,7.2,Male,30,Group_A,81.91,5,1,0.96
122,PhD,20,60.91,1,5.4,Male,43,Group_B,65.13,4,1,0.958
123,PhD,17,84.03,5,9.0,Female,41,Group_A,81.34,4,1,0.973
124,Masters,20,55.98,1,5.2,Male,24,Group_B,59.18,5,1,0.968
125,High School,15,75.87,3,7.4,Male,57,Group_D,86.07,3,1,0.898
126,Bachelors,10,91.9,3,10.0,Male,54,Group_D,89.74,4,1,0.978
127,Bachelors,9,60.09,1,3.7,Male,39,Group_D,68.56,1,1,0.915
128,Bachelors,8,64.34,2,8.0,Female,57,Group_D,71.83,3,1,0.925
129,Bachelors,11,71.0,3,7.2,Male,31,Group_C,69.49,3,1,0.985
130,High School,18,64.97,0,6.0,Male,57,Group_B,60.89,3,1,0.959
131,Masters,0,54.49,0,5.3,Female,42,Group_A,57.42,2,1,0.971
132,Masters,17,70.69,2,7.0,Female,46,Group_B,67.95,3,1,0.973
133,High School,13,59.38,2,3.9,Male,30,Group_A,75.06,4,1,0.843
134,Bachelors,20,74.74,0,9.3,Male,48,Group_D,78.38,2,1,0.964
135,Bachelors,0,60.81,1,6.1,Female,36,Group_B,56.79,2,1,0.96
136,Masters,16,85.5,0,9.1,Male,53,Group_C,81.73,4,1,0.962
137,High School,10,62.17,5,7.4,Female,37,Group_C,67.62,3,1,0.946
138,Bachelors,19,66.78,2,5.5,Male,49,Group_A,67.26,3,1,0.995
139,Bachelors,14,78.14,1,8.4,Male,27,Group_C,80.4,4,1,0.977
140,Bachelors,3,57.69,7,5.4,Male,27,Group_C,64.37,3,1,0.933
141,Masters,14,72.27,1,8.2,Male,59,Group_C,71.65,2,1,0.994
142,Masters,13,83.07,1,5.8,Female,23,Group_C,82.84,3,1,0.998
143,High School,0,53.93,3,5.3,Female,28,Group_B,53.84,1,0,0.999
144,Bachelors,8,71.85,3,6.5,Female,48,Group_D,75.26,2,1,0.966
145,PhD,6,72.6,3,7.8,Female,49,Group_B,75.55,3,1,0.97
146,High School,10,77.82,1,8.3,Female,37,Group_D,76.72,4,1,0.989
147,Masters,1,57.63,0,4.9,Female,30,Group_D,57.95,3,1,0.997
148,Masters,1,56.8,2,4.8,Female,36,Group_A,56.52,2,1,0.997
149,Masters,5,75.22,2,7.4,Male,55,Group_D,70.35,3,1,0.951
150,Bachelors,18,72.97,2,6.2,Male,41,Group_D,77.5,3,1,0.955
151,Bachelors,19,72.5,3,8.3,Female,35,Group_B,81.97,5,1,0.905
152,PhD,13,73.46,1,6.9,Female,32,Group_C,69.05,3,1,0.956
153,Bachelors,2,63.2,1,2.8,Female,51,Group_D,59.33,3,1,0.961
154,High School,6,72.32,1,6.8,Female,24,Group_A,70.42,2,1,0.981
155,Bachelors,6,72.93,2,6.0,Male,23,Group_D,79.23,3,1,0.937
156,High School,3,62.86,2,4.3,Female,35,Group_B,65.1,3,1,0.978
157,Masters,4,88.66,1,7.4,Female,50,Group_C,87.87,3,1,0.992
158,Bachelors,16,74.74,1,7.6,Male,26,Group_B,73.4,3,1,0.987
159,Masters,3,58.09,1,7.4,Female,27,Group_B,58.55,3,1,0.995
160,Masters,12,76.57,0,8.0,Female,29,Group_D,68.74,3,1,0.922
161,High School,15,60.25,0,5.3,Female,50,Group_B,60.97,3,1,0.993
162,Bachelors,15,77.87,3,8.3,Female,48,Group_B,82.23,4,1,0.956
163,Masters,1,81.59,1,7.6,Male,37,Group_B,78.75,4,1,0.972
164,Bachelors,17,61.79,2,5.3,Male,48,Group_B,56.4,3,1,0.946
165,PhD,0,79.63,3,6.6,Female,22,Group_B,87.53,2,1,0.921
166,Masters,17,74.13,2,5.3,Male,54,Group_A,77.01,4,1,0.971
167,High School,7,78.22,2,7.4,Male,48,Group_B,85.5,3,1,0.927
168,Masters,10,88.97,3,9.1,Male,38,Group_A,91.75,4,1,0.972
169,High School,14,67.55,0,6.6,Female,36,Group_B,66.74,4,1,0.992
170,High School,15,62.46,1,5.7,Male,43,Group_B,66.89,4,1,0.956
171,Masters,16,61.1,1,5.0,Male,40,Group_B,58.59,3,1,0.975
172,Masters,16,61.84,2,6.9,Female,49,Group_A,63.87,4,1,0.98
173,Bachelors,11,69.23,5,5.3,Female,44,Group_A,69.1,3,1,0.999
174,Bachelors,9,73.41,2,8.3,Female,57,Group_C,66.81,4,1,0.934
175,Bachelors,19,72.77,1,6.1,Female,41,Group_B,74.45,5,1,0.983
176,Bachelors,5,78.27,2,6.9,Male,30,Group_B,79.34,4,1,0.989
177,Bachelors,7,70.13,4,5.3,Male,44,Group_A,73.45,3,1,0.967
178,Bachelors,12,84.54,2,7.9,Male,28,Group_B,81.6,3,1,0.971
179,Bachelors,1,67.35,2,7.9,Female,52,Group_C,75.31,2,1,0.92
180,PhD,18,97.2,2,10.0,Male,32,Group_B,100.0,5,1,0.972
181,Bachelors,9,76.26,1,8.8,Female,38,Group_A,82.66,3,1,0.936
182,High School,3,61.43,1,6.8,Male,57,Group_A,64.2,3,1,0.972
183,Masters,11,59.29,0,4.6,Male,47,Group_D,53.42,3,1,0.941
184,Masters,17,74.82,1,7.1,Female,57,Group_B,84.59,4,1,0.902
185,PhD,6,67.77,1,5.8,Female,39,Group_A,69.0,3,1,0.988
186,High School,19,77.14,0,9.3,Male,52,Group_D,75.12,4,1,0.98
187,High School,3,74.73,3,6.0,Male,56,Group_A,80.74,3,1,0.94
188,Bachelors,6,69.27,2,8.0,Male,49,Group_C,77.16,2,1,0.921
189,Bachelors,9,61.53,5,7.2,Male,47,Group_A,64.84,3,1,0.967
190,Bachelors,14,54.85,1,7.7,Female,27,Group_A,63.45,4,1,0.914
191,Bachelors,11,65.53,1,6.1,Male,55,Group_B,72.64,4,1,0.929
192,High School,0,78.56,1,8.7,Male,49,Group_A,77.54,3,1,0.99
193,Bachelors,19,72.14,3,10.0,Female,30,Group_A,70.57,4,1,0.984
194,Masters,17,57.54,2,5.0,Female,50,Group_D,62.33,4,1,0.952
195,Bachelors,15,71.73,0,5.3,Male,55,Group_A,62.66,3,1,0.909
196,Masters,4,73.85,2,5.1,Male,33,Group_C,75.05,2,1,0.988
197,Bachelors,18,61.16,2,7.0,Male,37,Group_A,57.26,4,1,0.961
198,Bachelors,3,71.54,1,4.9,Male,28,Group_D,72.2,2,1,0.993
199,Bachelors,5,70.58,0,6.6,Female,52,Group_D,69.09,1,1,0.985
200,Bachelors,16,58.57,0,6.4,Female,54,Group_A,59.42,4,1,0.991
201,High School,6,73.58,2,7.6,Male,28,Group_B,73.91,3,1,0.997
202,Masters,6,75.61,2,8.1,Female,24,Group_C,70.12,3,1,0.945
203,Masters,8,80.83,4,8.3,Male,41,Group_A,97.69,4,1,0.831
204,Bachelors,12,80.54,2,9.6,Male,26,Group_C,91.68,3,1,0.889
205,High School,19,56.22,1,4.5,Female,24,Group_D,50.41,3,1,0.942
206,PhD,13,60.62,3,5.2,Male,59,Group_A,71.67,4,1,0.89
207,Bachelors,15,75.15,2,6.6,Male,36,Group_C,75.19,3,1,1.0
208,High School,8,75.14,0,8.5,Female,56,Group_A,77.37,3,1,0.978
209,Bachelors,14,75.15,1,8.6,Male,44,Group_B,77.79,3,1,0.974
210,Masters,4,100.0,0,10.0,Male,54,Group_A,100.0,3,1,1.0
211,Bachelors,17,75.71,3,9.0,Female,23,Group_B,80.63,5,1,0.951
212,Bachelors,20,81.36,3,6.7,Female,57,Group_A,83.15,2,1,0.982
213,Bachelors,19,79.54,3,10.0,Female,42,Group_A,79.97,4,1,0.996
214,High School,7,76.51,4,9.5,Male,35,Group_C,72.93,3,1,0.964
215,Bachelors,14,66.85,0,7.6,Male,35,Group_A,66.06,5,1,0.992
216,Masters,20,77.59,0,9.9,Male,32,Group_B,72.39,3,1,0.948
217,Bachelors,8,62.27,1,4.2,Female,25,Group_A,64.79,2,1,0.975
218,High School,18,67.63,2,6.1,Male,51,Group_A,65.69,3,1,0.981
219,High School,5,65.15,2,5.6,Female,57,Group_B,63.82,3,1,0.987
220,Bachelors,3,70.82,2,7.9,Male,41,Group_A,80.98,3,1,0.898
221,Masters,10,93.15,2,8.1,Male,37,Group_C,100.0,3,1,0.932
222,Bachelors,9,51.33,0,6.0,Male,55,Group_B,54.33,3,1,0.97
223,Bachelors,2,76.86,2,9.3,Female,29,Group_C,76.43,4,1,0.996
224,High School,0,53.87,0,6.2,Female,41,Group_A,64.55,2,1,0.893
225,Bachelors,11,65.28,1,6.9,Other,42,Group_C,67.88,3,1,0.974
226,High School,14,80.89,1,6.9,Male,51,Group_B,82.01,4,1,0.989
227,Masters,14,70.64,0,6.0,Male,57,Group_A,67.86,4,1,0.972
228,Bachelors,20,59.22,1,7.4,Male,26,Group_C,64.2,3,1,0.95
229,Masters,13,62.85,2,7.2,Female,42,Group_C,66.99,3,1,0.959
230,Masters,6,76.8,2,7.6,Male,59,Group_A,78.0,3,1,0.988
231,Masters,16,62.7,1,5.8,Male,44,Group_D,66.94,3,1,0.958
232,Bachelors,18,72.16,3,4.8,Male,40,Group_C,73.83,5,1,0.983
233,High School,6,70.46,0,5.8,Male,31,Group_A,74.24,2,1,0.962
234,PhD,2,63.48,3,8.6,Male,48,Group_A,54.49,2,1,0.91
235,Masters,2,91.44,0,7.6,Male,56,Group_B,92.77,2,1,0.987
236,Masters,17,76.34,2,7.9,Male,34,Group_A,86.22,4,1,0.901
237,High School,19,49.75,0,6.2,Male,30,Group_A,49.97,4,1,0.998
238,Bachelors,13,71.86,3,5.7,Female,38,Group_B,72.13,3,1,0.997
239,Masters,2,63.38,1,6.6,Female,52,Group_A,61.72,3,1,0.983
240,High School,6,78.52,4,9.0,Male,45,Group_B,82.83,3,1,0.957
241,Bachelors,6,62.07,3,6.2,Female,40,Group_A,62.32,1,1,0.998
242,Bachelors,4,68.85,2,10.0,Male,51,Group_A,67.99,2,1,0.991
243,High School,2,75.05,0,5.5,Male,26,Group_A,86.39,2,1,0.887
244,Bachelors,17,78.66,2,9.1,Female,29,Group_B,83.3,4,1,0.954
245,Bachelors,14,58.0,3,5.6,Female,58,Group_B,54.97,3,1,0.97
246,High School,19,66.65,1,7.6,Female,57,Group_C,69.14,3,1,0.975
247,Bachelors,13,65.25,1,7.1,Male,46,Group_D,70.86,4,1,0.944
248,Bachelors,3,63.47,2,5.5,Male,26,Group_A,72.39,2,1,0.911
249,Bachelors,7,87.65,3,9.0,Male,54,Group_A,84.11,3,1,0.965
250,Masters,20,74.05,1,5.2,Male,43,Group_C,80.71,5,1,0.933
251,Bachelors,12,57.39,0,6.5,Male,46,Group_A,59.09,3,1,0.983
252,Bachelors,7,79.18,1,8.3,Male,50,Group_A,82.43,5,1,0.968
253,Masters,14,91.22,0,9.9,Male,51,Group_A,100.0,4,1,0.912
254,PhD,16,80.32,1,9.3,Female,51,Group_B,81.83,4,1,0.985
255,High School,4,54.81,0,5.9,Female,52,Group_B,52.87,1,1,0.981
256,Bachelors,19,65.16,1,6.7,Male,55,Group_D,56.47,5,1,0.913
257,Bachelors,3,82.67,2,7.2,Female,49,Group_B,89.62,3,1,0.93
258,Bachelors,10,62.92,3,5.4,Female,31,Group_C,56.2,3,1,0.933
259,Masters,17,74.44,1,8.9,Male,25,Group_B,72.63,3,1,0.982
260,PhD,9,77.75,4,9.5,Male,54,Group_A,80.7,2,1,0.97
261,PhD,16,60.73,3,5.8,Female,38,Group_A,70.66,4,1,0.901
262,Bachelors,14,69.4,2,7.0,Male,32,Group_D,75.77,2,1,0.936
263,Bachelors,5,37.59,1,2.7,Female,28,Group_A,39.77,3,0,0.978
264,PhD,20,59.76,3,7.4,Male,38,Group_A,66.26,3,1,0.935
265,Bachelors,15,67.47,3,7.5,Male,49,Group_A,70.01,3,1,0.975
266,Bachelors,14,57.52,2,8.1,Female,38,Group_A,60.38,2,1,0.971
267,Masters,7,86.32,1,7.6,Female,31,Group_A,89.13,3,1,0.972
268,Bachelors,8,55.7,2,5.1,Male,47,Group_B,62.05,2,1,0.937
269,Bachelors,10,65.6,2,6.8,Female,27,Group_A,71.75,3,1,0.938
270,Masters,1,71.31,4,7.9,Male,38,Group_A,77.97,1,1,0.933
271,High School,12,84.41,1,8.2,Female,37,Group_C,82.6,3,1,0.982
272,High School,3,55.64,0,4.5,Female,47,Group_C,59.35,3,0,0.963
273,Bachelors,8,81.63,6,9.2,Male,25,Group_B,82.75,4,1,0.989
274,Bachelors,4,70.1,2,7.9,Male,41,Group_B,66.8,1,1,0.967
275,High School,18,60.18,2,4.9,Male,32,Group_A,62.4,4,1,0.978
276,Bachelors,2,74.62,1,9.1,Male,44,Group_C,78.43,2,1,0.962
277,Bachelors,20,71.99,5,8.6,Male,54,Group_B,78.52,4,1,0.935
278,Masters,2,64.0,2,6.6,Female,52,Group_B,63.08,2,1,0.991
279,Bachelors,5,70.7,1,7.2,Male,28,Group_C,66.19,4,1,0.955
280,Masters,9,66.15,3,7.3,Male,43,Group_B,68.73,2,1,0.974
281,Bachelors,4,71.14,0,6.1,Female,26,Group_B,71.7,1,1,0.994
282,Masters,2,76.62,1,7.7,Male,58,Group_B,79.72,3,1,0.969
283,Bachelors,6,85.86,3,6.0,Male,22,Group_B,93.31,3,1,0.926
284,High School,17,57.62,5,6.8,Male,27,Group_C,65.21,4,1,0.924
285,Masters,7,91.33,2,7.3,Female,25,Group_B,88.36,3,1,0.97
286,Bachelors,0,50.48,1,6.9,Male,51,Group_A,51.92,2,1,0.986
287,High School,3,68.48,2,6.5,Female,51,Group_B,63.28,2,1,0.948
288,Bachelors,6,75.88,2,7.3,Male,38,Group_D,81.34,3,1,0.945
289,Masters,13,72.81,1,6.5,Female,45,Group_A,82.9,5,1,0.899
290,Bachelors,12,63.77,1,6.0,Female,52,Group_C,62.2,3,1,0.984
291,High School,9,67.92,3,8.5,Female,49,Group_B,66.71,4,1,0.988
292,High School,17,65.07,2,3.5,Male,25,Group_B,75.56,3,1,0.895
293,Bachelors,0,64.11,0,7.9,Male,40,Group_D,68.63,2,1,0.955
294,Bachelors,3,78.5,2,8.3,Female,45,Group_C,80.68,1,1,0.978
295,Bachelors,15,73.57,3,5.9,Male,28,Group_D,69.23,3,1,0.957
296,High School,15,63.07,1,5.0,Male,30,Group_A,71.21,3,1,0.919
297,Bachelors,17,79.0,2,9.9,Female,43,Group_A,75.49,5,1,0.965
298,Masters,7,73.07,1,6.2,Female,23,Group_B,67.4,4,1,0.943
299,Masters,9,78.13,1,6.4,Male,48,Group_C,78.52,3,1,0.996
300,Masters,15,76.3,1,9.0,Female,37,Group_C,73.37,3,1,0.971
301,High School,10,61.71,3,6.6,Female,26,Group_A,63.46,2,1,0.982
302,PhD,5,64.4,1,5.3,Male,33,Group_A,61.38,3,1,0.97
303,Bachelors,0,77.47,4,8.0,Female,47,Group_C,82.27,2,1,0.952
304,PhD,11,76.1,1,6.4,Female,36,Group_B,81.74,3,1,0.944
305,Bachelors,5,69.79,6,8.3,Other,24,Group_B,60.05,4,1,0.903
306,Bachelors,12,71.17,2,8.4,Male,30,Group_C,77.73,3,1,0.934
307,Bachelors,16,82.78,1,8.9,Female,49,Group_A,81.49,5,1,0.987
308,Bachelors,0,64.08,1,6.8,Male,57,Group_A,74.23,2,1,0.898
309,Masters,7,75.47,2,9.7,Male,46,Group_D,77.0,2,1,0.985
310,Masters,7,67.98,2,6.8,Female,49,Group_A,70.39,1,1,0.976
311,PhD,10,67.82,2,5.4,Male,42,Group_A,71.29,3,1,0.965
312,Bachelors,13,80.99,4,8.6,Male,50,Group_A,90.77,5,1,0.902
313,Bachelors,9,78.25,1,10.0,Male,46,Group_A,77.34,3,1,0.991
314,High School,14,78.14,1,6.6,Male,51,Group_A,85.51,4,1,0.926
315,PhD,6,83.05,2,7.9,Male,32,Group_C,90.35,2,1,0.927
316,Bachelors,6,70.21,1,7.5,Male,40,Group_D,76.17,4,1,0.94
317,Masters,9,76.82,3,7.6,Female,32,Group_A,90.58,4,1,0.862
318,Bachelors,3,66.9,1,5.5,Male,46,Group_C,66.84,2,1,0.999
319,Bachelors,17,73.24,4,8.7,Female,22,Group_A,79.92,4,1,0.933
320,PhD,9,68.7,2,9.7,Female,53,Group_A,70.53,2,1,0.982
321,High School,18,70.97,0,7.3,Male,42,Group_B,80.04,5,1,0.909
322,Bachelors,13,75.95,4,6.5,Male,34,Group_D,78.55,3,1,0.974
323,High School,12,61.82,2,4.3,Female,55,Group_D,59.88,2,1,0.981
324,Masters,14,90.92,1,9.4,Female,38,Group_A,100.0,4,1,0.909
325,High School,15,59.94,2,7.3,Male,40,Group_A,61.62,2,1,0.983
326,High School,1,57.86,0,6.4,Female,31,Group_D,50.79,2,0,0.929
327,Bachelors,3,81.58,0,8.2,Male,30,Group_A,84.26,2,1,0.973
328,Bachelors,20,77.92,4,7.1,Male,32,Group_C,83.27,3,1,0.946
329,Bachelors,17,76.24,1,6.3,Female,59,Group_A,85.93,4,1,0.903
330,High School,16,76.28,1,8.6,Male,52,Group_B,80.31,4,1,0.96
331,PhD,9,69.88,1,8.1,Male,23,Group_B,79.87,4,1,0.9
332,PhD,20,61.03,4,4.2,Female,45,Group_B,54.24,3,1,0.932
333,Bachelors,8,70.76,1,9.0,Female,26,Group_C,68.54,4,1,0.978
334,Masters,14,63.23,6,7.0,Male,51,Group_A,65.89,2,1,0.973
335,Bachelors,11,79.75,2,9.7,Other,56,Group_B,79.18,4,1,0.994
336,Bachelors,20,68.53,1,5.2,Female,38,Group_B,68.95,5,1,0.996
337,Bachelors,8,61.75,1,4.5,Male,52,Group_A,71.07,3,1,0.907
338,Bachelors,13,66.79,3,6.5,Male,23,Group_A,68.33,3,1,0.985
339,Bachelors,12,74.13,2,8.0,Female,37,Group_A,76.9,2,1,0.972
340,Bachelors,5,64.36,1,8.6,Female,42,Group_A,67.12,1,1,0.972
